Commit SHA, Old function signature, New function signature
37270d0abca381d36c355d3612e1e20c37856fdb, "void setSourceCode(java.lang.String sourceCode)", "void setSourceCode(com.thoughtworks.qdox.model.JavaMethod method, java.lang.String code)"
3658d6d53793a9a44326f14ce985fc70c612e8d6, "void setEnum(boolean isEnum)", "void setEnum(com.thoughtworks.qdox.model.JavaClass clazz, boolean isEnum)"
3658d6d53793a9a44326f14ce985fc70c612e8d6, "void setImplementz(java.lang.String[] implementz)", "void setImplementz(com.thoughtworks.qdox.model.JavaClass clazz, Type[] implementz)"
3658d6d53793a9a44326f14ce985fc70c612e8d6, "void setInterface(boolean interfce)", "void setInterface(com.thoughtworks.qdox.model.JavaClass clazz, boolean isInterface)"
3658d6d53793a9a44326f14ce985fc70c612e8d6, "void setSuperClass(Type type)", "void setSuperClass(com.thoughtworks.qdox.model.JavaClass clazz, Type type)"
b35726f9efe60ea4be0e33d4418b3fb33d0bf96a, "com.thoughtworks.qdox.model.JavaSource newJavaSource()", "com.thoughtworks.qdox.model.JavaSource newJavaSource(com.thoughtworks.qdox.JavaClassContext context)"
b35726f9efe60ea4be0e33d4418b3fb33d0bf96a, "Type newType(java.lang.String fullname, int dimensions)", "Type newType(java.lang.String fullname, int dimensions, com.thoughtworks.qdox.model.JavaSource source)"
e3cc93e7b1082315dfc64e972ab4fb4d4e5b253a, "com.thoughtworks.qdox.model.JavaClass getJavaClass()", "com.thoughtworks.qdox.model.JavaClass getJavaClass(java.lang.String name)"
f6311b42e3f3cad61a44308388194e3767ddd4e7, "com.thoughtworks.qdox.library.ClassLibraryBuilder appendSource(java.io.InputStream stream)", "com.thoughtworks.qdox.library.ClassLibraryBuilder appendSource(java.net.URL reader, java.lang.String encoding) throws java.io.IOException"
c7161f4f6e6e1ca2f6302b1c08c354b5778209a6, "ModelBuilder newInstance()", "ModelBuilder newInstance(com.thoughtworks.qdox.library.ClassLibrary library)"
1a38058e89d59e42860141abb3662122de6c8423, "java.util.Map<java.lang.String,com.thoughtworks.qdox.model.JavaMethod> getMethodsFromSuperclassAndInterfaces(com.thoughtworks.qdox.model.JavaClass callingClazz)", "java.util.Map<java.lang.String,com.thoughtworks.qdox.model.JavaMethod> getMethodsFromSuperclassAndInterfaces(com.thoughtworks.qdox.model.JavaClass rootClass, com.thoughtworks.qdox.model.JavaClass callingClazz)"
3145e2d3c9f0d51f2cc5ee03db5582dbc95354aa, "com.thoughtworks.qdox.model.JavaClass getJavaClass(java.lang.String name)", "com.thoughtworks.qdox.model.JavaClass getJavaClass(java.lang.String name, boolean createStub)"
c92a7d397f9d5e6645ae9dbd70549150df1f4334, "void setSource(com.thoughtworks.qdox.model.JavaSource javaSource)", "void setSource(DefaultJavaClass clazz, com.thoughtworks.qdox.model.JavaSource source)"
eed0ce4277d3f4ac76c573d40da935801baaed8f, "void setClasses(com.thoughtworks.qdox.model.JavaClass[] classes)", "void setClasses(DefaultJavaSource source, java.util.List<com.thoughtworks.qdox.model.JavaClass> classes)"
eed0ce4277d3f4ac76c573d40da935801baaed8f, "void setImports(java.lang.String[] imports)", "void setImports(DefaultJavaSource source, java.util.List<java.lang.String> imports)"
9debc776dd9d6da71999a254c698c4c23b6b3a3b, "void lexAssert(int lex) throws java.io.IOException", "void lexAssert(int lex, java.lang.String text) throws java.io.IOException"
aeb6acdda65ca7e20a1447b5bee5db0f2859586a, "java.io.File newMockFile(java.lang.String name)", "java.io.File newMockFile(java.lang.String name, boolean isDirectory)"
